"title","year","mid","rating","num_ratings",Execution Time
"10,000 BC",2008,58293,"3",91145,136 msec
"Above the Rim",1994,409,"3.5",4319
"A Boy and His Dog",1975,7236,"3.4",2758
"A Boy Called Hate",1995,814,"0",0
"Abre los ojos",1997,2594,"3.9",11790
"A Bridge Too Far",1977,7980,"0",0
"A Brief History of Time",1991,6780,"3.9",305
"Abril Despedaçado",2001,5314,"3.9",968
"A Bronx Tale",1993,428,"3.9",17840
"A Brother's Kiss",1997,1510,"2.9",289
"Abschied - Brechts letzter Sommer",2000,5050,"2.8",129
"Absence of Malice",1981,5707,"3.3",1000
"Absolute Beginners",1986,6346,"0",0
"Absolute Power",1997,1459,"3.2",6094
"A Bucket of Blood",1959,7993,"0",0
"A Bug's Life",1998,2355,"3.3",64405
"Accattone",1961,6599,"4.1",471
"Accepted",2006,47518,"3.5",88251
"Acción mutante",1993,5822,"0",0
"Ace in the Hole",1951,3736,"4.2",1846
"A Century of Cinema",1994,2270,NULL,NULL
"Ace of Hearts",2008,64288,NULL,NULL
"Aces: Iron Eagle III",1992,2817,"2.5",1084
"Ace Ventura: Pet Detective",1994,344,"3.1",163811
"Ace Ventura: When Nature Calls",1995,19,"3.2",87306
"A Charlie Brown Christmas",1965,26133,"0",0
"A Chorus Line",1985,6345,"3.4",2567
"A Christmas Carol",1984,1099,"0",0
"A Christmas Story",1983,2804,"3.7",23109
"A Civil Action",1998,2433,"3.1",3573
"A Claymation Christmas Celebration",1987,8574,"0",0
"A Clockwork Orange",1971,1206,"0",0
"A Cock and Bull Story",2005,43460,"3.3",8622
"A Cool, Dry Place",1998,1807,"3.2",848
"A Countess from Hong Kong",1967,6172,"0",0
"Across 110th Street",1972,4907,"0",0
"Across the Pacific",1942,25878,"0",0
"Across the Sea of Time",1995,37,"2.9",237
"Across the Universe",2007,54190,"4",133408
"A Crude Awakening: The Oil Crash",2006,4715,"4",969
"Action in the North Atlantic",1943,25888,"0",0
"Action Jackson",1988,3710,"2.6",2187
"Act of Violence",1948,33113,"3.8",227
"A Damsel in Distress",1937,1067,"3.5",179
"Adam's Rib",1949,7121,"3.9",3056
"Adam & Steve",2005,46194,"2.9",13053
"Adanggaman",2000,4449,"3.5",119
"Adaptation.",2002,5902,"3.6",39757
"A Day at the Races",1937,8542,"0",0
"Addams Family Values",1993,410,"3.1",21548
"Addicted to Love",1997,1541,"2.8",4654
"A Decade Under the Influence",2003,6327,"3.8",1167
"A Dirty Shame",2004,8872,"0",0
"A Dog of Flanders",1999,2831,"3.7",259
"A Dog's Life",1918,3309,"0",0
"Adrenalin: Fear the Rush",1996,1383,"2.7",684
"A Dry White Season",1989,4586,"0",0
"Adventures in Babysitting",1987,2133,"3.2",12565
"Adventures of Don Juan",1948,47615,"0",0
"Advise & Consent",1962,26078,"3.9",594
"Ae Fond Kiss...",2004,27851,"3.7",1269
"Æon Flux",2005,37386,"2.9",50363
"A Face in the Crowd",1957,3038,"4.2",1221
"A Family Thing",1996,635,"3.4",546
"A Farewell to Arms",1932,976,"0",0
"A Far Off Place",1993,2045,"3.3",2508
"A Fei zheng chuan",1990,26713,"4",3441
"A Few Good Men",1992,2268,"3.6",26934
"Affliction",1997,2439,"3.4",1078
"A Fish Called Wanda",1988,1079,"3.4",15157
"A Foreign Affair",1948,7370,"3.7",504
"Africa Screams",1949,7407,"0",0
"Africa: The Serengeti",1994,4458,"0",0
"After Dark, My Sweet",1990,5287,"3.3",506
"Afterglow",1997,1733,"3",386
"After Hours",1985,7419,"3.8",5298
"After School Special",2003,39421,"2.9",2657
"After the Sunset",2004,8968,"3.1",6886
"After the Thin Man",1936,7834,"0",0
"A Funny Thing Happened on the Way to the Forum",1966,8796,"0",0
"A Further Gesture",1997,1781,"0",0
"Against All Odds",1984,3206,"3",1230
"Against the Ropes",2004,7315,"2.8",1809
"Agent Cody Banks",2003,6624,"2.6",21724
"Agent Cody Banks 2: Destination London",2004,7345,"2.5",13037
"Agnes Browne",1999,3124,"3.5",307
"Agnes of God",1985,3251,"3.2",1316
"A Good Man in Africa",1994,462,"2.9",306
"A Good Woman",2004,41025,"2.7",9179
"A Good Year",2006,49130,"3.3",22634
"A Goofy Movie",1995,239,"3.1",17024
"A Grand Day Out with Wallace and Gromit",1989,1223,"0",0
"A Great Day in Harlem",1994,602,"3.9",85
"A Guide to Recognizing Your Saints",2006,48856,"3.3",23093
"Aguirre, der Zorn Gottes",1972,7063,"4.2",6781
"A Guy Thing",2003,6012,"2.8",8292
"A Handful of Dust",1988,30970,"3",754
"A Hard Day's Night",1964,2863,"3.9",9274
"A Hard Rain's Gonna Fall",2008,1752,NULL,NULL
"A History of Violence",2005,37733,"3.4",45849
"A Hole in the Head",1959,4797,"0",0
"A Home at the End of the World",2004,8667,"3.5",3425
"A Home of Our Own",1993,4286,"3.3",706
"Äideistä parhain",2005,38824,"4",941
"Aileen: Life and Death of a Serial Killer",2003,7171,"3.5",1623
"Aimée & Jaguar",1999,3854,"4",1140
"Ai no borei",1978,3560,"0",0
"Ai no korîda",1976,495,"3.5",1565
"Ai qing wan sui",1994,872,"0",0
"Air America",1990,3841,"2.7",5347
"Airborne",1993,33629,"0",0
"Air Bud",1997,1592,"2.6",11606
"Air Bud: Golden Receiver",1998,2152,"2.7",7798
"Air Force One",1997,1608,"3.2",26434
"Airheads",1994,413,"2.9",13551
"Airplane!",1980,2791,"3.6",31137
"Airplane II: The Sequel",1982,2792,"2.9",10524
"Airport",1970,2520,"3.1",2253
"Airport 1975",1974,2521,"2.9",1688
"Airport '77",1977,2522,"0",0
"AKA",2002,8895,"3.1",250
"Akahige",1965,5498,"4.3",2413
"Akai hashi no shita no nurui mizu",2001,5351,"3.6",563
"Akarui mirai",2003,8374,"3.6",823
"Akasia",2003,34648,"0",0
"Akeelah and the Bee",2006,44709,"3.6",27397
"A Kid in King Arthur's Court",1995,258,"0",0
"A Killer Among Friends",1992,32120,NULL,NULL
"Akira",1988,1274,"4",33398
"A Kiss Before Dying",1956,26734,"0",0
"A Knight's Tale",2001,4299,"3.5",77647
"Aladdin",1992,588,NULL,NULL
"Aladdin and the King of Thieves",1995,1064,"0",0
"À la folie... pas du tout",2002,6163,"3.8",6623
"Alaska: Spirit of the Wild",1997,4459,"0",0
"Albino Alligator",1996,2525,"3",1198
"Al di là delle nuvole",1995,7109,"3.6",976
"A League of Ordinary Gentlemen",2004,32302,"3.5",155
"A League of Their Own",1992,3255,"0",0
"Aleksandra",2007,60391,"3.6",547
"Aleksandr Nevskiy",1938,7756,"4",1217
"A Letter from Death Row",1998,1765,"0",0
"A Letter to Three Wives",1949,25952,"3.8",921
"Alexander",2004,9002,"2.7",29540
"Alexander's Ragtime Band",1938,8881,"0",0
"Alex & Emma",2003,6493,"2.8",7767
"Alexis Zorbas",1964,7771,"0",0
"Alfie",2004,8948,"2.9",15367
"Ali",2001,5009,"3.3",18871
"Alice Adams",1935,6020,"3.6",789
"Alice Doesn't Live Here Anymore",1974,8838,"0",0
"Alice et Martin",1998,2773,"3.4",246
"Alice in Wonderland",1951,1032,"3.3",37778
"Alice's Restaurant",1969,26199,"3.4",935
"Alien",1979,1214,"0",0
"Alien³",1992,1690,"3.1",30526
"Alien Escape",1997,1692,NULL,NULL
"Alien from L.A.",1988,6899,"0",0
"""Alien Nation""",1989,3701,NULL,NULL
"Alien: Resurrection",1997,44595,"3",25498
"Aliens",1986,1200,"3.8",72406
"Aliens of the Deep",2005,31429,"3.2",1182
"A Life Less Ordinary",1997,1658,"3.1",9301
"Alila",2003,7322,"3",221
"À l'intérieur",2007,58964,"3.8",3333
"A Little Bit of Soul",1998,2601,"0",0
"A Little Princess",1995,262,"3.4",13643
"A Little Romance",1979,6032,"3.8",1363
"Alive",1993,3250,"3.3",5360
"All About Eve",1950,926,"4.2",10267
"All About the Benjamins",2002,5170,"3.4",6169
"Allan Quatermain and the Lost City of Gold",1986,2748,"0",0
"All Dogs Go to Heaven",1989,2123,"3.2",20551
"All Dogs Go to Heaven 2",1996,631,"2.8",10564
"Allegro non troppo",1976,7304,"3.8",1302
"All in a Night's Work",1961,32158,"0",0
"All I Want for Christmas",1991,8935,"3.1",1740
"All Night Long",1962,5708,"0",0
"All or Nothing",2002,5788,"3.8",907
"All Over the Guy",2001,4722,"3.5",1303
"All Quiet on the Western Front",1930,1927,"3.8",3797
"All That Heaven Allows",1955,4419,"0",0
"All That Jazz",1979,2971,"3.9",3397
"All That Money Can Buy",1941,6859,"0",0
"All the Boys Love Mandy Lane",2006,59738,"0",0
"All the King's Men",2006,48326,"0",0
"All the Little Animals",1998,6681,"3.8",1085
"...All the Marbles",1981,5706,"0",0
"All the President's Men",1976,6787,"3.9",11562
"All the Pretty Horses",2000,4031,"3",2957
"All the Queen's Men",2001,5789,"3.1",969
"All the Rage",1999,3867,"2.9",444
"All the Real Girls",2003,6159,"3.9",2897
"All the Right Moves",1983,5226,"2.9",2666
"All the Vermeers in New York",1990,3531,"3",232
"Almost an Angel",1990,26676,"0",0
"Almost Famous",2000,3897,"3.7",57797
"Almost Heroes",1998,1887,"2.9",4626
"Alone in the Dark",2005,62299,"2.1",8641
"Along Came Jones",1945,60309,"0",0
"Along Came Polly",2004,7173,"3.1",42224
"A Lot Like Love",2005,33145,"3.5",20461
"A Love Song for Bobby Long",2004,30848,"3.7",5803
"A Low Down Dirty Shame",1994,387,"2.9",3460
"Alpha Dog",2006,50442,"3.3",59805
"Alphaville, une étrange aventure de Lemmy Caution",1965,680,"3.9",4907
"Altered States",1980,4713,"3.4",4339
"Alvarez Kelly",1966,2896,"0",0
"Alvin and the Chipmunks",2007,56176,"3.6",165304
"Amadeus",1984,1225,"3.9",24420
"A Man Apart",2003,6280,"3.4",15785
"A Man Called Horse",1970,6392,"0",0
"Amandla! A Revolution in Four Part Harmony",2002,6160,"4",313
"A Man for All Seasons",1966,1949,"4",2887
"A Man Named Pearl",2006,64418,"4",248
"A Man of No Importance",1994,385,"3.6",111
"A Map of the World",1999,3128,"3.2",587
"Amarcord",1973,7089,"4.2",5273
"À ma soeur!",2001,4847,"3.4",1800
"Amator",1979,8844,"4",656
"A Matter of Life and Death",1946,8516,"4.4",2083
"Amazing Grace",2006,51471,"4",24835
"Amazing Grace and Chuck",1987,4078,"0",0
"Amazon Women on the Moon",1987,4079,"3.2",2625
"Amen.",2002,6041,"3.9",1385
"American Adobo",2001,5067,"3.8",502
"American Beauty",1999,2858,"3.8",115181
"American Buffalo",1996,806,"3",598
"American Dreams",2002,45106,NULL,NULL
"American Flyers",1985,3214,"3.2",1640
"American Gangster",2007,55765,"4",673602
"American Gigolo",1980,3649,"3.1",2098
"American Graffiti",1973,3363,"3.6",12630
"American Gun",2005,7337,"3.2",1027
"American Heart",1992,6198,"3.4",430
"American History X",1998,2329,"4.2",140060
"American Me",1992,6022,"4.1",2720
"American Movie",1999,3007,"4",3544
"American Nightmare",2002,7418,"0",0
"American Ninja",1985,4565,"0",0
"American Ninja 2: The Confrontation",1987,4566,"0",0
"American Ninja 3: Blood Hunt",1989,4567,"0",0
"American Outlaws",2001,4721,"3.2",5353
"American Pie",1999,4718,"3.4",203348
"American Pie Presents Band Camp",2005,39715,"0",0
"American Pie Presents The Naked Mile",2006,50189,"0",0
"American Pimp",1999,3718,"3.5",767
"American Pop",1981,3725,"0",0
"American Psycho",2000,3535,"3.6",57904
"American Psycho II: All American Girl",2002,2902,"0",0
"American Splendor",2003,6620,"3.7",9157
"American Strays",1996,1102,"0",0
"American Teen",2008,60763,"3",11887
"American Wedding",2003,6586,"3.4",73646
"America's Heart and Soul",2004,8637,"0",0
"America's Sweethearts",2001,4639,"2.8",17330
"Americathon",1979,8427,"0",0
"A Midnight Clear",1992,7025,"3.7",801
"A Midsummer Night's Dream",1999,2622,"0",0
"A Midsummer Night's Sex Comedy",1982,6100,"3.3",2757
"A Mighty Heart",2007,53921,"3.5",55538
"A Mighty Wind",2003,6296,"3.6",7120
"A Million to Juan",1994,8843,"0",0
"Amistad",1997,1693,"3.5",9716
"Amityville 1992: It's About Time",1992,1322,"0",0
"Amityville 3-D",1983,1323,"2.7",2070
"Amityville: A New Generation",1993,1325,"0",0
"Amityville: Dollhouse",1996,1324,"0",0
"Amityville II: The Possession",1982,1326,"2.9",3306
"A Modern Affair",1995,623,"3.2",63
"Among Giants",1998,2569,"3.2",111
"A Month by the Lake",1995,753,"3.1",914
"A Month in the Country",1987,4136,"0",0
"Amores perros",2000,4235,"4.2",37736
"Amores Possíveis",2001,6580,"0",0
"Amos & Andrew",1993,1440,"2.7",1624
"Amy",1997,4070,"3.7",361
"Amy's Orgasm",2001,5532,"2.8",555
"Anaconda",1997,1499,"2.5",21526
"Anacondas: The Hunt for the Blood Orchid",2004,8830,"2.5",14394
"An Affair to Remember",1957,932,"4",7962
"An Alan Smithee Film: Burn Hollywood Burn",1997,1853,"2.2",601
"Analyze That",2002,5900,"2.9",11576
"Analyze This",1999,2539,"3.1",15881
"An American Carol",2008,62586,"2.9",6246
"An American Crime",2007,59418,"3.8",6057
"An American Haunting",2005,45361,"3",32251
"An American in Paris",1951,900,"3.7",6926
"An American Rhapsody",2001,4737,"0",0
"An American Tail",1986,2141,"3.3",13516
"An American Tail: Fievel Goes West",1991,2142,"3.2",16427
"An American Werewolf in London",1981,1321,"3.4",18421
"An American Werewolf in Paris",1997,2793,"2.8",10235
"Anamorph",2007,59362,"2.7",1453
"An Angel at My Table",1990,6671,"4",986
"Anastasia",1997,1688,"3.2",33076
"Anatomie de l'enfer",2004,8867,"2.9",861
"Anatomy of a Murder",1959,3801,"4",3171
"An Awfully Big Adventure",1995,148,"3.2",1433
"Anchors Aweigh",1945,3599,"0",0
"...And Justice for All.",1979,3420,"3.5",3756
"And Now for Something Completely Different",1971,2788,"3.8",16003
"And Now... Ladies and Gentlemen...",2002,6588,"3.3",642
"Andre",1994,577,"2.7",2286
"Andrey Rublyov",1966,26150,"4.5",3531
"Android Apocalypse",2006,5919,"0",0
"And the Band Played On",1993,2071,"0",0
"And Then There Were None",1945,4969,"0",0
"And When Did You Last See Your Father?",2007,59910,"3.1",5170
"An Everlasting Piece",2000,4032,"3.6",540
"Angel-A",2005,47725,"3.4",17241
"Angel and the Badman",1947,964,"0",0
"Angela's Ashes",1999,3179,"3.6",4588
"Angel Baby",1995,1428,NULL,NULL
"Angel Eyes",2001,4305,"0",0
"Angel Heart",1987,3706,"3.6",7026
"Angel on My Shoulder",1946,960,"0",0
"Angels and Insects",1995,85,"3.3",635
"Angels in America",2003,38499,NULL,NULL
"Angels in the Outfield",1951,1021,"0",0
"Angels with Dirty Faces",1938,8600,"0",0
"Anger Management",2003,6287,"3.3",70407
"Angie",1994,6788,"2.7",642
"Änglagård",1992,26803,"3.7",254
"Angst essen Seele auf",1974,6509,"4.1",1799
"Angus, Thongs and Perfect Snogging",2008,700,"3.9",6295
"Angustia",1987,3650,"0",0
"An Ideal Husband",1999,2690,"3.4",2877
"A Night at the Opera",1935,7132,"4.1",4515
"A Night at the Roxbury",1998,2296,"3.1",27913
"A Night in Casablanca",1946,7933,"0",0
"A Night in the Life of Jimmy Reardon",1988,4527,"0",0
"A Nightmare on Elm Street",1984,1347,"3.5",57452
"A Nightmare on Elm Street 3: Dream Warriors",1987,1970,"3.1",21954
"A Nightmare on Elm Street 4: The Dream Master",1988,1971,"3",19043
"A Nightmare on Elm Street Part 2: Freddy's Revenge",1985,1969,"3",19841
"A Nightmare on Elm Street: The Dream Child",1989,36152,"2.9",17837
"A Night to Remember",1958,3405,"0",0
"Animal Crackers",1930,7706,"0",0
"Animal Factory",2000,8495,"3.2",2952
"Animal House",1978,4340,"3.7",25149
"Animals Are Beautiful People",1974,6408,"0",0
"An Inconvenient Truth",2006,45950,"3.6",41842
"An Innocent Man",1989,4608,"2.9",1267
"Anna and the King",1999,3155,"3.2",10877
"Anna Christie",1930,8518,"0",0
"Anna Karenina",1935,7092,"0",0
"Annapolis",2006,43556,"3.2",13763
"Anne Frank Remembered",1995,116,"3.7",1076
"Anne of the Thousand Days",1969,8191,"0",0
"Annie",1982,4039,"3.1",20236
"Annie Hall",1977,1230,"3.9",27350
"An Officer and a Gentleman",1982,4041,"3.5",8345
"Another 48 Hrs.",1990,5027,"2.9",6166
"Another Cinderella Story",2008,8643,"0",0
"Another Country",1984,26497,"0",0
"Another Day in Paradise",1998,2440,"3.2",1703
"Another Stakeout",1993,415,"2.5",1861
"Another Thin Man",1939,7831,"0",0
"Another Woman",1988,4393,"3.7",1472
"Another You",1991,5887,"0",0
"À nous la liberté",1931,5560,"3.7",914
"Ansikte mot ansikte",1976,7935,"4",333
"Ansiktet",1958,7940,"3.9",677
"Anthony Adverse",1936,8450,"0",0
"Antitrust",2001,4052,"2.8",5738
"Antonia",1995,82,"4.2",1707
"Antwone Fisher",2002,5955,"3.6",7166
"Antz",1998,2294,"2.9",33465
"An Unfinished Life",2005,37475,"3.3",13634
"An Unreasonable Man",2006,55156,"3.9",2169
"Any Given Sunday",1999,3173,"3.3",21068
"Anything But Love",1989,6937,"0",0
"Anything Else",2003,6750,"2.9",4837
"Anywhere But Here",1999,3051,"3",4760
"Any Which Way You Can",1980,4714,"3.1",3457
"Aoi haru",2001,8803,"0",0
"Apache",1954,4319,"0",0
"Aparajito",1956,6918,"4.3",811
"Apartment Zero",1988,4468,"3.5",629
"A Passage to India",1984,7087,"3.6",1652
"A Patch of Blue",1965,6178,"0",0
"A Perfect Candidate",1996,1123,"3.2",252
"A Perfect Getaway",2009,8016,"3.2",102622
"A Perfect Murder",1998,1892,"3.1",9130
"A Perfect World",1993,507,"3.5",7814
"A Personal Journey with Martin Scorsese Through American Movies",1995,7492,"0",0
"A Piece of the Action",1977,7273,"0",0
"A Place in the Sun",1951,3475,"3.9",2248
"Apocalypse Now",1979,1208,"4.1",67647
"Apocalypto",2006,48304,"3.7",132213
"Apollo 13",1995,150,"3.6",30565
"Appaloosa",2008,34299,"3.2",19629
"Appointment with Death",1988,4469,"0",0
"Appurushîdo",2004,31184,"3.7",5608
"A Prairie Home Companion",2006,45028,"3",24547
"A Prayer for the Dying",1987,6179,"3.1",695
"Après la vie",2002,7295,"3.8",54
"Après vous...",2003,33675,"3.5",850
"A Price Above Rubies",1998,1814,"3.1",429
"April Fool's Day",2008,1330,"0",0
"April's Shower",2003,42736,"2.6",750
"A Private Function",1984,6312,"0",0
"Apt Pupil",1998,2320,"3.1",5334
"Apur Sansar",1959,670,"4.4",1009
"A Pyromaniac's Love Story",1995,295,"3.1",773
"Aquamarine",2006,44225,"3.1",60073
"Aqua Teen Hunger Force Colon Movie Film for Theaters",2007,52462,"3.5",12293
"Arabesque",1966,49007,"0",0
"Arabian Nights",2000,64921,"0",0
"Arachnophobia",1990,2699,"2.8",10804
"A Rage in Harlem",1991,6819,"3.2",878
"A Raisin in the Sun",1961,3350,"3.8",1378
"Ararat",2002,5817,"3.6",923
"Archangel",2005,60189,"0",0
"Arctic Tale",2007,54505,"3.5",16362
"Arena",1989,5154,"0",0
"Are We Done Yet?",2007,52279,"3.2",59360
"Are We There Yet?",2005,31422,"3.1",29416
"Arguing the World",1998,1743,"3.1",150
"A River Runs Through It",1992,3100,"3.5",13036
"Arizona Dream",1993,8254,"4",9613
"Arlington Road",1999,2707,"3.3",6430
"Armageddon",1998,1917,"3.5",105398
"Armed and Dangerous",1986,2458,"0",0
"Army of Darkness",1992,1215,"3.8",33240
"Arn - Tempelriddaren",2007,54075,NULL,NULL
"A Room with a View",1985,1296,"3.9",6394
"Around the Bend",2004,8913,"3.4",1012
"Around the World in 80 Days",2004,952,"2.7",14038
"Arrowhead",1953,30942,"0",0
"Arrowsmith",1931,32345,"0",0
"Arsenic and Old Lace",1944,1269,"4",9161
"Artemisia",1997,1695,"3.4",390
"Arthur 2: On the Rocks",1988,4471,"2.5",865
"Arthur! And the Square Knights of the Round Table",1966,6520,NULL,NULL
"Arthur et les Minimoys",2006,50162,"3.2",25956
"Article 99",1992,6841,"3.2",709
"Artificial Intelligence: AI",2001,4370,"3.1",42316
"Art School Confidential",2006,45440,"3",9231
"A Rumor of Angels",2000,5082,"3.6",355
"Arven",2003,8133,"3.8",493
"A Scanner Darkly",2006,27904,"3.4",46764
"Ascenseur pour l'échafaud",1958,32179,"4.2",1819
"Asfour Stah",1990,625,"0",0
"As Good as It Gets",1997,1784,"3.5",30872
"A Shot at Glory",2000,7105,"3.3",476
"A Shot in the Dark",1964,7073,"0",0
"A Show of Force",1990,31060,"0",0
"Ash Wednesday",2002,6651,"3.1",670
"A Simple Plan",1998,2391,"3.4",7546
"A Simple Twist of Fate",1994,536,"3.1",1672
"A Simple Wish",1997,1583,"2.7",4830
"Ask the Dust",2006,6691,"2.8",14077
"A Slipping-Down Life",1999,9015,"3.2",316
"A Small Circle of Friends",1980,8853,"0",0
"A Smile Like Yours",1997,1632,"0",0
"Asoka",2001,5985,"0",0
"A Soldier's Daughter Never Cries",1998,2276,"3.4",482
"A Soldier's Story",1984,2852,"3.7",1759
"A Sound of Thunder",2005,27618,"2.4",12447
"Aspen Extreme",1993,5580,"2.9",1218
"Assassination Tango",2002,6267,"2.9",572
"Assault on Precinct 13",2005,3726,"3.1",12635
"A Star Is Born",1937,3217,"0",0
"Astérix & Obélix: Mission Cléopâtre",2002,27368,"3.6",4436
"A Stranger Among Us",1992,6468,"2.7",1243
"A Streetcar Named Desire",1951,1104,"3.9",13151
"A Summer Place",1959,7131,"0",0
"Asylum",2008,3757,"2.2",1071
"A Tale of Two Cities",1958,6984,"0",0
"Átame!",1990,1190,"3.7",4683
"Atanarjuat",2001,5417,"3.8",1275
"A Taste of Honey",1961,51857,"4",686
"At Close Range",1986,4043,"3.5",2435
"At First Sight",1999,7490,"2.9",2600
"A Thin Line Between Love and Hate",1996,626,"3.5",3360
"A Thousand Acres",1997,1624,"3",932
"A Thousand Clowns",1965,26147,"0",0
"A Time to Kill",1996,805,"3.6",17074
"ATL",2006,44815,"4",55291
"Atlantic City",1980,2130,"0",0
"Atlantis, the Lost Continent",1961,8149,"0",0
"Atlantis: The Lost Empire",2001,4366,"2.9",15720
"Atonement",2007,55052,"3.8",138297
"A Touch of Class",1973,5123,"3",669
"At Play in the Fields of the Lord",1991,8201,"0",0
"A Troll in Central Park",1994,5164,"0",0
"Attack Force Z",1982,5921,"0",0
"Attack of the Crab Monsters",1957,5979,"0",0
"Attack of the Giant Leeches",1959,8138,"0",0
"Attack of the Killer Tomatoes!",1978,2163,"0",0
"Attack of the Puppet People",1958,6656,"0",0
"At the Circus",1939,34018,"0",0
"At the Earth's Core",1976,4943,"2.9",800
"Attila",1954,5922,NULL,NULL
